"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-24","0.00","66","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-26","0.00","65","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-27","0.00","69","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-28","0.00","67","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-29","0.00","64","79",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-30","0.00","63","79",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-31","0.00","64","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-01","0.00","66","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-02","0.00","67","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-06","0.00","58","68",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-07","0.00","58","72",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-08","0.00","58","73",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-09","0.00","60","73",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-10","0.00","58","73",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-12","0.00","55","73",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-13","0.00","57","72",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-14","0.00","57","73",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-15","0.00","59","74",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-16","0.00","63","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-17","0.00","62","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-19","0.00","63","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-20","0.00","63","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-21","0.00","57","79",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-22","0.00","64","82",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-23","0.00","66","82",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-24","0.00","61","74",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-25","0.00","57","72",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-27","0.00","59","74",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-28","0.00","60","75",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-29","0.00","62","76",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-30","0.00","63","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-01-31","0.00","66","83",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-01","0.00","66","83",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-02","0.00","66","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-03","0.00","64",,
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-04","0.00","61","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-05","0.00","63","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-06","0.00","63","76",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-07","0.00","63","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-09","0.00","63","79",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-11","0.00","64","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-12","0.00","66","82",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-13","0.00","68",,
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-14","0.00","67","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-17","0.00","71","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-18","0.00","72","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-19","0.00","71","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-20","0.00","70","86",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-21","0.00","69","84",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-22","0.00","71","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-23","0.00","71","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-24","0.00","72","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-02-27","0.00","70","86",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-01","0.00","73","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-02","0.00","74","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-03","0.00","70","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-04","0.00","70","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-05","0.00","68","79",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-09","0.00","73","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-10","0.00","73","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2001-03-11","0.00","71",,
